,timestamp,Unnamed: 0,id,raw_table_id,sample_temp,sample_rh,sample_pres,pm1,pm25,pm10,lat,lon,pm1_model_id,pm25_model_id,pm10_model_id,sn,PMc
0,2021-08-01 00:00:00,10946.0,32280588.56862745,32281003.54901961,42.6072549019608,21.714117647058824,0.0,4.09623725490196,5.064737254901961,9.202984313725489,33.72000000000002,-116.1899999999999,1916.0,1915.0,1914.0,MOD-PM-00177,1.8170704323937596
0,2021-08-01 00:00:00,11486.5,32280543.133333333,32280958.116666667,32.3875,23.318666666666672,0.0,2.888406666666666,3.1792533333333335,5.042875,38.559,-122.5429999999999,1922.0,1921.0,1920.0,MOD-PM-00179,1.5861821853349214
0,2021-08-01 00:00:00,11489.5,32280560.633333333,32280975.633333333,34.85216666666667,23.199333333333335,0.0,2.128975,2.4123700000000006,4.397411666666667,40.77700000000003,-111.94599999999993,1917.0,1918.0,1919.0,MOD-PM-00178,1.8228595392359652
0,2021-08-01 00:00:00,11395.5,32280579.9,32280994.9,31.64433333333333,35.68783333333333,0.0,0.9122016666666668,1.9483549999999996,5.958328333333333,38.32,-122.31000000000016,1929.0,1930.0,1931.0,MOD-PM-00185,3.058132800918382
0,2021-08-01 00:00:00,11482.5,32280581.766666666,32280996.766666666,28.70599999999998,41.882333333333335,0.0,1.187886666666666,2.751275,18.63022666666667,38.2852,-122.29201999999991,1898.0,1897.0,1896.0,MOD-PM-00168,6.771488370543355
0,2021-08-01 00:00:00,11446.5,32280620.783333335,32281035.766666666,34.12333333333333,30.52366666666667,0.0,1.7871316666666666,3.2370583333333345,14.137550000000003,38.29299999999997,-122.26800000000001,1893.0,1894.0,1895.0,MOD-PM-00164,4.367406621752774
0,2021-08-01 00:00:00,11395.5,32280579.9,32280994.9,31.64433333333333,35.68783333333333,0.0,0.9122016666666668,1.9483549999999996,5.958328333333333,38.32,-122.31000000000016,1929.0,1930.0,1931.0,MOD-PM-00185,3.058132800918382
0,2021-08-01 00:00:00,11483.5,32280584.483333334,32280999.516666666,32.62933333333333,25.029999999999994,0.0,4.472193333333334,4.862806666666667,8.754811666666665,,,1654.0,1653.0,1652.0,MOD-PM-00102,1.800361862353839
0,2021-08-01 00:00:00,11484.5,32280516.566666666,32280931.616666667,31.978666666666662,25.18733333333333,0.0,4.852263333333332,5.057619999999999,6.527221666666667,64.84580000000004,-147.72727000000006,1899.0,1900.0,1901.0,MOD-PM-00170,1.2905717840934408
0,2021-08-01 00:00:00,11447.0,32280548.745762713,32280963.79661017,28.548983050847454,39.809661016949136,0.0,4.605442372881358,4.9710491525423715,6.539255932203389,35.25900000000001,-120.64400000000018,1905.0,1906.0,1907.0,MOD-PM-00172,1.3154679689415223
1,2021-08-01 01:00:00,11387.5,32287696.183333334,32288111.233333334,25.79866666666667,46.31366666666666,0.0,5.444616666666667,5.869846666666667,7.539741666666666,35.25900000000001,-120.64400000000018,1905.0,1906.0,1907.0,MOD-PM-00172,1.284486988302931
1,2021-08-01 01:00:00,11426.5,32287634.05,32288049.0,30.995833333333337,25.437333333333342,0.0,4.269876666666669,4.605881666666664,6.262851666666665,38.559,-122.5429999999999,1922.0,1921.0,1920.0,MOD-PM-00179,1.3597508837432142
1,2021-08-01 01:00:00,11423.5,32287675.116666667,32288090.116666667,35.50149999999999,21.103666666666662,0.0,3.834689999999999,4.177966666666667,7.809045,,,1654.0,1653.0,1652.0,MOD-PM-00102,1.8691017959294391
1,2021-08-01 01:00:00,11336.0,32287617.711864408,32288032.711864408,30.628644067796614,37.917457627118644,0.0,1.394901694915254,2.526757627118644,7.269261016949153,38.31999999999999,-122.31000000000016,1929.0,1930.0,1931.0,MOD-PM-00185,2.8769126642504936
1,2021-08-01 01:00:00,11429.5,32287651.866666667,32288066.866666667,32.33816666666667,26.77316666666667,0.0,1.9325833333333338,2.224759999999999,3.5647116666666667,40.77700000000003,-111.94599999999993,1917.0,1918.0,1919.0,MOD-PM-00178,1.6022904343240028
1,2021-08-01 01:00:00,11425.0,32287662.86440678,32288077.898305085,31.6193220338983,25.154576271186432,0.0,3.6888084745762706,3.8389661016949157,4.709108474576272,64.84580000000004,-147.7272700000001,1899.0,1900.0,1901.0,MOD-PM-00170,1.2266606033580723
1,2021-08-01 01:00:00,11386.5,32287712.266666666,32288127.233333334,32.64316666666666,33.035833333333336,0.0,1.8892583333333335,3.0234566666666662,8.701809999999995,38.29299999999997,-122.26800000000001,1893.0,1894.0,1895.0,MOD-PM-00164,2.878099790857483
1,2021-08-01 01:00:00,11422.5,32287672.733333334,32288087.733333334,27.84166666666666,44.85533333333334,0.0,1.5960716666666661,2.833425,10.644455,38.2852,-122.29201999999991,1898.0,1897.0,1896.0,MOD-PM-00168,3.7567449288405377
1,2021-08-01 01:00:00,10891.5,32287729.51724138,32288144.48275862,39.97568965517242,25.052413793103447,0.0,3.6016344827586204,4.559367241379311,8.365736206896552,33.72000000000002,-116.18999999999987,1916.0,1915.0,1914.0,MOD-PM-00177,1.8348458818960431
1,2021-08-01 01:00:00,11336.0,32287617.711864408,32288032.711864408,30.628644067796614,37.917457627118644,0.0,1.394901694915254,2.526757627118644,7.269261016949153,38.31999999999999,-122.31000000000016,1929.0,1930.0,1931.0,MOD-PM-00185,2.8769126642504936
2,2021-08-01 02:00:00,11366.5,32294732.65,32295147.55,29.42283333333334,29.715666666666657,0.0,3.37959,3.7763166666666654,6.164381666666667,38.559,-122.5429999999999,1922.0,1921.0,1920.0,MOD-PM-00179,1.6323794349873562
